"Sample1"	"Sample2"	"Sample3"	"Sample4"	"Sample5"	"Sample6"	"Sample7"	"Sample8"	"Sample9"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample60"	"Sample61"	"Sample62"	"Sample63"	"Sample64"	"Sample65"	"Sample66"	"Sample67"	"Sample68"	"Sample69"	"Sample70"	"Sample71"	"Sample72"	"Sample73"	"Sample74"	"Sample75"	"Sample76"	"Sample77"	"Sample78"	"Sample79"	"Sample80"	"Sample81"	"Sample82"	"Sample83"	"Sample84"	"Sample85"	"Sample86"	"Sample87"	"Sample88"	"Sample89"	"Sample90"	"Sample91"	"Sample92"	"Sample93"	"Sample94"	"Sample95"	"Sample96"	"Sample97"	"Sample98"	"Sample99"	"Sample100"
"Feature60"	0	15200	7	174	100	1939	2	150	210	2213	24	0	3005	449	142	98	0	78	362	0	5917	53	165	17384	230	1418	6	0	0	220	818	235	112	78	1525	0	4364	1949	208	1023	39	0	463	2725	25	6	24	1	40	537	263	761	543	1286	954	4395	0	3386	3011	1	871	23	3	58	480	4	95	0	11310	11	16	146	1027	0	0	8947	671	0	1290	0	28	3195	0	6	24041	26	49	589	101	89	156	0	209	270	411	570	3784	0	6	514
"Feature61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature62"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	79	0	0	0	0	0	0	0	153	0	2	7	0	21	0	0	0	62	0	12	0	8	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature63"	0	0	0	0	0	0	0	0	1619	0	1	0	0	0	0	0	0	24048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	16	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1551	0	0	0	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature64"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature65"	0	18	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Feature66"	0	1111	0	0	0	0	0	0	0	203	2	0	0	5	0	24	4859	1	1937	0	29008	7001	0	352	0	0	0	211	1	334	0	0	0	45797	0	0	9	0	0	0	0	0	0	0	96	41	0	2	0	2926	0	0	249	0	0	0	35	0	0	2947	104	17844	0	0	848	146	22	21	0	0	0	0	0	1248	0	0	0	0	0	420	0	0	0	0	0	0	478	0	0	0	0	55	0	22878	0	0	0	0	0	0
"Feature67"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature68"	114	0	0	0	0	0	0	120	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	445	3176	0	0	0	0	0	194	0	0	1458	0	0	0	36	0	1658	0	10	7	0	194	0	0	0	0	0	0	16069	0	0	0	0	0	0	0	0	3252	0	0	0	0	0	0	0	0	0	0	19	0	0	2	24130	0	0	0	0	0	0	0	0	656	138	0	0	0	18	1	0	1588	0	39	0	0	0	0	0
"Feature69"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature70"	0	0	0	0	0	0	0	0	0	0	0	0	0	111151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature72"	0	0	0	0	0	0	0	18	0	0	0	0	0	0	37	0	0	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	96
"Feature73"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
"Feature74"	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature75"	765	1720	0	0	0	29	0	1	16281	0	0	0	5231	0	0	0	0	950	0	0	0	0	0	0	0	21	0	0	9	0	0	776	0	0	4	0	1816	0	1772	0	1151	0	7573	0	0	0	0	1	0	89	0	0	0	58	0	0	0	8390	0	0	0	0	85971	0	0	0	0	0	0	0	0	20688	21	0	0	0	0	0	0	0	0	11	51	0	0	0	787	0	0	0	0	0	0	3	0	0	0	0	0	0
"Feature76"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature77"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
"Feature78"	0	16	0	0	0	0	0	1	0	0	2	0	0	0	0	0	7	0	0	0	7	0	27	0	0	0	0	0	0	59	0	0	0	6	0	47	28	0	11	0	0	0	22	0	0	2	0	0	0	0	0	0	0	2	0	11362	0	0	0	0	0	0	0	0	0	1	1	16	0	26	0	0	0	10	9	0	9	0	249	0	0	34	0	0	1	0	0	0	0	0	0	0	1	0	29	0	0	0	0	0
"Feature79"	1671	848	0	0	0	0	0	0	18	127	0	0	0	0	0	3857	587	4	0	0	0	0	0	227	21	0	1096	44	0	1	4551	0	0	329	0	6273	0	294	0	0	78	15	0	0	885	0	0	3	99	0	0	0	0	770	0	0	0	189	24712	0	8243	146	0	17421	12	0	127	1	0	1	20	0	0	0	0	0	0	3393	0	0	55	0	0	0	0	0	3796	139	0	0	62	10	0	0	0	0	0	0	289	1
"Feature80"	0	1867	0	0	0	0	0	0	30	635	0	0	418	22	0	0	1871	0	0	0	0	0	10628	12455	42	0	0	35	0	0	59	0	0	0	0	5455	633	5	0	0	7	0	166	0	0	3	0	0	2419	0	0	41	0	0	0	421	0	20	0	0	13	0	9	0	0	0	354	0	0	0	1	0	21933	34066	0	599	0	1053	14	0	13373	0	2425	7	0	0	74	4	0	0	0	7	0	0	0	1	0	0	0	0
"Feature81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	1043	0	0	0	0	0	0	0	0	0	0
"Feature82"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature83"	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature84"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"Feature85"	0	0	0	0	0	0	0	0	0	0	0	0	18	0	8	0	984	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	39	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	10	1078	7	0	0	0	0	7	0	0	0	0	0	0	0	2	0	16	0	0	0	1	0
"Feature86"	1	108	0	1	0	0	0	0	0	0	0	0	0	0	0	1	135	0	7	112	5631	0	0	0	0	0	38	2	0	19	6	0	143	34	156	22	0	0	0	1047	0	0	0	5	3	0	0	0	4	0	7	0	0	0	0	0	27	0	309	0	20	0	0	1	22	0	12	9	0	0	3	0	35	0	0	0	0	2	233	51	2	0	0	0	0	0	3	0	0	73	0	0	0	7	0	0	0	7	3	0
"Feature87"	0	61	0	1	135	1	0	2	1	1	0	0	0	10	0	0	14	6	0	32	22	0	391	1343	11	0	145	165	0	43	94	13	0	0	24223	21	263	1281	0	729	0	0	0	26	0	0	0	0	0	0	8	4397	1	1	0	0	0	39	10	0	8	0	0	0	0	0	38	0	0	0	1	0	105	449	1	0	1	0	1352	3	9	6	79	0	0	0	11	0	0	184	0	1	7	0	0	0	4	0	0	264
"Feature88"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature89"	103	0	0	0	0	0	0	0	0	40	7	0	56	67	0	11	64	169	0	0	2550	84	19	0	60	279	9	0	5	10932	716	0	0	50	8822	3944	0	285	461	0	15	0	811	29	19	0	3	1	16	12	2220	0	401	11	0	674	0	2448	0	0	83	21	1	17	5	2	213	20	498	0	10	1	144	0	0	259	2	22	688	372	99	10	964	5	34	0	5	2648	0	0	99	0	80	114	0	0	1223	0	13	24
"Feature90"	0	0	0	0	0	0	0	0	0	0	15	0	13386	0	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	49	0	0	0	0	0	0	0	11579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62475	0	0	0	0
"Feature91"	0	0	0	0	1	13	0	0	0	0	0	0	0	0	14	0	0	0	0	1	51	0	0	0	371	0	0	15	0	0	4	0	1	0	0	0	219	0	0	0	0	1	4	0	0	0	0	0	0	0	36	332	0	0	0	0	0	5	6	0	1	0	0	0	0	0	10	0	2	0	0	0	13	0	4	1139	0	0	84	28	1	0	0	0	0	0	0	0	0	5	8	1	0	0	0	0	0	0	0	2
"Feature92"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature93"	141	0	1	411	5234	2264	0	6	129	108	94	0	929	205	2085	60	400	32	94	0	2500	0	742	724	91	3908	0	8242	178	0	308	0	5226	886	2371	4924	165	362	87	30230	0	0	103	394	0	0	0	0	354	0	0	487	0	3601	33	0	0	0	0	0	6829	390	1	1	0	0	352	1448	8257	3	18	0	4476	21699	32	5697	1028	875	0	40378	97	168	636	2	915	0	0	0	0	7429	180	0	62	25	259	902	4577	5	0	48
"Feature94"	419	94595	25327	51314	221	77081	37186	13926	1351	45059	23691	43485	7959	160	11353	1354	21267	2171	43057	2226	7210	310	1939	32270	13207	0	6494	278	233	0	76	18650	10497	906	71	4227	24654	313	51241	33779	3502	16643	3552	5245	0	29953	47342	11604	86	10882	34021	14842	11731	7137	16043	22409	21149	0	495966	8476	10492	3996	303	42609	97683	54240	9670	34386	1889	41642	145	3734	3827	37	16250	0	36376	4615	0	4851	7067	266	14860	102	29	36180	10326	138148	43346	317	5412	30392	100	49745	275	769	12152	737	3152	8074
"Feature95"	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	96	0	0	0	0	0	0	985	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Feature96"	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	130	0	0	0	0	0	0	629	0	0	32	113	19	0	0	0	1861	125	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	234	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	58	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature97"	121	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	25	300	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	73	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5395	0	0	0	87	0	107	0	0	0	0	0	0	1	0	0	0	0	0	0	0	365	0	2	6
"Feature98"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
"Feature100"	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	5816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature101"	4420	14610	2624	5419	1658	16492	6010	1478	2961	5170	3014	14181	4287	12825	5544	5007	17228	3558	6310	1197	7351	3412	7164	15914	7565	21465	5155	4952	4276	6010	7821	9302	15469	5345	6343	21650	13398	2220	10564	28064	2691	1957	7650	8229	10662	5263	17788	7106	1170	5111	14167	46568	3183	5335	6455	10974	10520	27031	65911	2464	4704	2876	24145	7568	17538	6467	7822	9144	6445	6347	3949	5194	21486	34989	13987	44049	18474	14016	5633	20139	3051	924	31005	11410	27035	7714	5304	38746	18514	2694	1682	6514	2500	8449	5978	14255	16289	7097	8240	4395
